,,,,,,,,,,,,,,,,,,,,
Segment,CC,CC Name,START DATE,END DATE,2026-2030 QTY,2026 EU Qties,2027 EU Qties,2028 EU Qties,2029 EU Qties,2030 EU Qties,"EBOOST (E-KIT) NAME
ICO","PLATFORM
ICO",Motor,Driver,Battery,Display,PROJECT MANAGER,BOM created?,COMMENT,CC ZIMON
RD/GRVL,9900344069,E-EDR AF 105 12S,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344069
RD/GRVL,9900347699,E-EDR AF 105 12S UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,347699
RD/GRVL,9900345271,E-EDR AF 105 12S WOMAN,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,345271
RD/GRVL,9900347360,E-EDR AF 105 CN,2/1/2024,12/31/2027,Exist but No quantity,0,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,347360
RD/GRVL,9900343812,E-EDR AF 105 DI2,1/1/2023,12/31/2026,140,140,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,343812
RD/GRVL,9900344847,E-EDR AF 105 DI2 UK,1/1/2023,12/31/2026,Exist but No quantity,0,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344847
RD/GRVL,9900344135,E-EDR AF 105 DI2 WOMAN,12/16/2023,12/31/2026,100,100,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344135
RD/GRVL,9900345068,E-EDR AF APEX AXS 12S,2/17/2023,12/31/2027,500,500,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,345068
RD/GRVL,9900347764,E-EDR AF APEX AXS 12S UK,1/1/2023,12/31/2026,Exist but No quantity,0,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,347764
RD/GRVL,9900345069,E-EDR AF APEX AXS 12S WMN,2/17/2023,12/31/2026,190,190,0,0,0,0,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,345069
RD/GRVL,9900335667,E-EDR AF WOMAN UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR AF,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,335667
RD/GRVL,9900334148,E-EDR CF 105 DI2 12S,1/30/2022,3/3/2029,"1,750",750,500,500,0,0,E-EDR CF,OIB eboost Mahle X20,X20,Other,iX350 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,334148
RD/GRVL,9900344664,E-EDR CF 105 DI2 WMN BEIGE,1/1/2023,12/31/2026,Exist but No quantity,0,0,0,0,0,E-EDR CF,OIB eboost Mahle X20,X20,Other,iX350 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344664
RD/GRVL,9900358218,E-EDR CF UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-EDR CF,OIB eboost Mahle X20,X20,Other,iX350 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,358218
RD/GRVL,9900332443,E-GRVL AF,3/9/2025,12/31/2028,"1,300",800,250,250,0,0,E-GRVL AF Discovery,HUB light InFrame S,M99CD,DV3,36V IF 360Wh,HUB light InFrame S,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,332443
RD/GRVL,9900336389,E-GRVL AF UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-GRVL AF Discovery,HUB light InFrame S,M99CD,DV3,36V IF 360Wh,HUB light InFrame S,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,336389
RD/GRVL,9900344948,E-GRVL AF HD X30,10/1/2025,12/31/2028,"1,950",400,1000,550,0,0,E-GRVL AF HD X30,OIB eboost Mahle X30,X30,Other,iX250 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,344948
RD/GRVL,9900354575,E-GRVL AF HD X30 UK,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-GRVL AF HD X30,OIB eboost Mahle X30,X30,Other,iX250 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,354575
RD/GRVL,9900332472,E-GRVL AF HD X35,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-GRVL RDNG 500,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,332472
RD/GRVL,9900335160,E-GRVL AF HD X35 UK,10/1/2023,12/31/2026,Exist but No quantity,0,0,0,0,0,E-GRVL RDNG 500,OIB eboost Mahle X35,X35,Other,X35 Mahle,,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,335160
RD/GRVL,9900359120,E-GRVL AF II,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-GRVL AF MY28,,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,TRUE,,359120
RD/GRVL,9900345840,E-GRVL AF MD,3/21/2024,12/31/2028,"1,200",600,300,300,0,0,E-GRVL AF MD MY24,BROSE Hmag,Brose Hmag,MDU,,NA,Simon Midrier,TRUE,,345840
RD/GRVL,9900335117,E-GRVL AF MD UK,3/3/2024,12/31/2027,Exist but No quantity,0,0,0,0,0,E-GRVL AF MD MY24,BROSE Hmag,Brose Hmag,MDU,,NA,Simon Midrier,TRUE,,335117
RD/GRVL,9900354568,E-GRVL CF,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,E-GRVL CF,,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,354568
RD/GRVL,9900352038,X35 RANGE EXTENDER,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,Benjamin ALLEE -BTWIN VILLAGE LILLE-,FALSE,,352038
TREKKING,124809,RS500 E V1 EUROPE,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,RS 500E MOBOM V3,#N/A,#N/A,#N/A,#N/A,#N/A,Simon Midrier,FALSE,,124809
TREKKING,9900323626,RIVERSIDE 100e,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,RS 100E MY 2022,HUB 100 2020,VRMGT,DV3,,?,Simon Midrier,TRUE,,323626
TREKKING,9900338397,RS520E EUROPE,#N/A,#N/A,Not Exist,#N/A,#N/A,#N/A,#N/A,#N/A,RS 520E,#N/A,#N/A,#N/A,#N/A,#N/A,Simon Midrier,TRUE,,338397
TREKKING,9900341895,E-ACTV 500 HF,3/4/2024,12/31/2028,"2,400",2400,0,0,0,0,ACTIVE 500e MY24,PWC2,PWC2,MDU,,OIB eboost Yam,Simon Midrier,TRUE,,341895
TREKKING,9900342030,E-ACTV 500 LF,1/1/2024,2/20/2028,"42,800",17800,25000,0,0,0,ACTIVE 500e MY24,PWC2,PWC2,MDU,,OIB eboost Yam,Simon Midrier,TRUE,,342030
